id,domain,task_difficulty,time_to_reward_days,past_failure_loops,self_efficacy_score,emotional_valence,social_pressure,task_clarity,time_available_hrs,distraction_level,perfectionism_score,reward_proximity,failure_weight,clarity_gap,delay_score,delay_label,primary_delay_cause,nudge_recommendation,acted
370,Creative Project,8.66,52.4,2,2.99,3.35,1.94,2.63,4.85,8.67,8.66,0.0187,1.402,7.37,62.78,High,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
371,Health Checkup,5.15,200.9,4,7.05,-2.49,1.97,6.23,5.72,4.21,7.04,0.005,1.18,3.77,37.5,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
372,Studying,1.9,226.3,3,3.86,-0.49,6.16,3.75,3.61,6.09,4.28,0.0044,1.842,6.25,33.45,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
373,Career Choice,9.63,62.0,5,3.22,-2.78,7.4,4.93,5.08,2.21,7.6,0.0159,3.39,5.07,50.37,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
374,Finance,5.17,131.3,4,5.38,-3.91,6.46,1.74,1.86,8.44,9.02,0.0076,1.848,8.26,64.36,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
375,Studying,3.37,323.6,1,7.55,3.92,8.5,6.68,4.92,6.21,7.92,0.0031,0.245,3.32,23.29,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
376,Studying,9.16,201.6,8,9.05,0.4,6.54,2.34,2.51,9.02,6.31,0.0049,0.76,7.66,58.06,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
377,Career Choice,2.2,183.2,1,4.57,0.02,6.63,8.63,4.89,6.53,2.49,0.0054,0.543,1.37,15.57,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
378,Health Checkup,2.26,58.5,9,9.54,1.59,9.68,7.62,3.03,4.23,2.97,0.0168,0.414,2.38,15.84,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
379,Finance,3.09,96.9,3,1.39,-2.93,9.08,4.25,2.95,5.09,1.42,0.0102,2.583,5.75,40.63,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
380,Creative Project,3.92,257.0,8,6.7,-2.27,7.42,6.21,3.53,4.39,4.41,0.0039,2.64,3.79,45.69,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
381,Health Checkup,6.88,305.0,8,3.26,4.73,2.23,4.65,4.95,4.11,8.13,0.0033,5.392,5.35,75.99,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
382,Health Checkup,1.06,322.0,7,2.49,-4.23,6.43,2.9,1.32,4.26,7.46,0.0031,5.257,7.1,83.77,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
383,Fitness,6.95,151.6,5,7.48,-0.18,4.79,2.9,1.18,8.5,1.2,0.0066,1.26,7.1,51.8,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
384,Fitness,2.15,216.4,2,6.67,-4.61,5.72,1.5,1.73,2.62,9.62,0.0046,0.666,8.5,46.4,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
385,Health Checkup,9.72,232.9,11,7.55,3.21,9.47,2.95,3.74,5.24,5.34,0.0043,2.695,7.05,71.43,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
386,Studying,8.47,219.5,12,6.24,2.67,6.23,5.6,1.21,7.17,9.3,0.0045,4.512,4.4,84.86,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
387,Health Checkup,6.32,84.3,6,2.19,-4.83,5.23,9.18,4.19,8.44,6.45,0.0117,4.686,0.82,60.4,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
388,Studying,5.28,224.6,0,8.9,0.31,7.52,1.84,4.04,9.12,5.85,0.0044,0.0,8.16,36.49,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
389,Fitness,9.07,282.9,10,4.88,-0.79,8.75,7.28,2.72,9.45,5.34,0.0035,5.12,2.72,90.34,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
390,Finance,4.15,293.8,12,8.53,0.76,4.25,3.29,4.65,9.19,1.75,0.0034,1.764,6.71,72.07,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
391,Health Checkup,8.89,149.5,3,1.05,2.44,0.07,5.7,3.24,4.38,2.85,0.0066,2.685,4.3,55.35,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
392,Career Choice,4.68,39.3,6,6.86,-2.46,8.55,4.81,2.35,3.48,7.13,0.0248,1.884,5.19,24.69,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
393,Studying,4.72,286.2,7,2.61,0.59,4.84,9.9,3.57,7.97,4.58,0.0035,5.173,0.1,57.38,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
394,Studying,8.69,240.8,11,3.07,2.83,9.49,1.9,3.17,8.07,8.21,0.0041,7.623,8.1,99.9,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
395,Health Checkup,7.27,258.1,2,4.5,1.36,8.04,8.41,2.96,6.4,1.79,0.0039,1.1,1.59,47.6,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
396,Career Choice,3.0,29.7,0,7.52,4.31,4.01,6.91,1.9,9.67,1.52,0.0326,0.0,3.09,13.81,Low,External Distractions,"Environment design: phone in another room, website blockers.",1
397,Studying,6.76,160.5,3,8.66,4.31,5.18,2.75,4.76,5.59,7.29,0.0062,0.402,7.25,36.46,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
398,Health Checkup,2.53,13.6,3,6.9,4.76,0.87,3.48,2.55,7.03,4.65,0.0685,0.93,6.52,24.34,Low,Ambiguity / Unclear Next Step,Write the very next physical action in one sentence.,1
399,Studying,5.66,269.1,1,9.27,0.5,7.26,6.03,3.6,4.13,8.34,0.0037,0.073,3.97,32.69,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
400,Studying,6.46,71.4,6,6.17,-2.39,4.07,1.96,0.67,3.65,9.52,0.0138,2.298,8.04,59.28,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
401,Health Checkup,9.61,319.8,12,6.17,1.94,9.66,6.07,4.68,7.82,9.65,0.0031,4.596,3.93,87.64,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
402,Finance,7.13,327.3,0,5.34,-2.42,3.83,8.1,1.52,7.31,8.2,0.003,0.0,1.9,61.61,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
403,Finance,9.6,188.8,0,7.31,-2.37,2.87,4.59,4.56,4.08,5.99,0.0053,0.0,5.41,56.41,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
404,Studying,5.29,129.4,9,3.42,4.47,6.83,9.19,3.12,2.8,7.62,0.0077,5.922,0.81,49.36,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
405,Career Choice,2.86,74.4,3,8.53,-1.44,7.79,2.08,0.7,9.6,5.43,0.0133,0.441,7.92,30.0,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
406,Fitness,7.88,197.9,0,8.63,-1.29,3.15,9.08,5.32,6.17,3.47,0.005,0.0,0.92,31.07,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
407,Studying,9.86,334.4,4,4.58,2.5,1.28,5.73,2.68,9.46,1.29,0.003,2.168,4.27,76.06,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
408,Career Choice,4.54,250.7,2,5.11,-3.8,5.18,3.84,0.3,7.07,4.41,0.004,0.978,6.16,55.61,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
409,Fitness,3.93,223.9,4,2.68,-2.37,2.69,9.63,2.22,2.66,4.82,0.0044,2.928,0.37,50.65,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
410,Finance,7.31,136.2,6,3.52,-3.2,1.31,6.18,1.56,1.9,3.43,0.0073,3.888,3.82,52.6,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
411,Studying,6.0,312.6,3,2.31,4.59,1.5,8.25,1.27,5.5,9.96,0.0032,2.307,1.75,75.53,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
412,Creative Project,5.65,263.1,12,5.38,-2.49,8.59,1.43,0.82,2.47,2.94,0.0038,5.544,8.57,62.04,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
413,Career Choice,5.29,230.1,7,7.7,-2.4,3.6,6.02,4.91,4.1,4.71,0.0043,1.61,3.98,57.52,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
414,Career Choice,8.81,351.6,3,6.19,1.5,5.38,9.81,1.89,3.93,5.59,0.0028,1.143,0.19,51.83,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
415,Creative Project,5.02,29.1,9,3.58,1.32,1.45,2.51,4.89,4.04,6.68,0.0332,5.778,7.49,59.67,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
416,Health Checkup,4.64,331.1,1,2.46,-2.72,3.17,3.62,1.79,6.8,3.44,0.003,0.754,6.38,68.83,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
417,Finance,8.03,342.7,11,6.28,4.66,4.14,2.65,0.38,7.55,6.96,0.0029,4.092,7.35,98.58,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
418,Creative Project,7.31,29.7,2,4.57,-4.04,9.37,5.26,0.56,7.94,5.72,0.0326,1.086,4.74,48.2,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
419,Fitness,1.94,225.8,1,6.89,3.85,3.09,3.23,1.88,6.64,2.18,0.0044,0.311,6.77,21.71,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
420,Studying,1.26,242.4,5,8.78,-0.33,8.71,9.41,3.4,2.22,9.54,0.0041,0.61,0.59,14.94,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
421,Health Checkup,2.59,218.3,10,7.74,3.77,4.35,6.76,3.32,9.18,5.33,0.0046,2.26,3.24,50.38,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
422,Studying,8.24,161.6,5,4.71,-3.44,0.11,5.71,4.61,2.23,3.58,0.0062,2.645,4.29,57.95,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
423,Health Checkup,1.07,336.6,12,5.29,-4.91,4.3,3.64,1.58,1.06,4.36,0.003,5.652,6.36,64.08,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
424,Finance,8.94,159.8,3,2.47,2.37,3.9,4.41,1.76,4.8,3.16,0.0062,2.259,5.59,63.05,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
425,Health Checkup,8.27,250.1,4,6.84,0.32,2.69,2.69,0.64,2.23,1.99,0.004,1.264,7.31,50.93,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
426,Finance,6.56,99.7,9,5.43,-1.79,1.52,9.73,0.38,9.75,3.54,0.0099,4.113,0.27,68.56,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
427,Studying,7.44,265.5,3,1.81,-4.85,2.17,4.78,4.77,5.49,4.34,0.0038,2.457,5.22,81.32,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
428,Creative Project,8.12,120.9,12,9.56,-4.44,7.76,1.64,2.95,2.73,8.57,0.0082,0.528,8.36,70.02,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
429,Finance,8.45,45.0,12,7.43,-1.15,9.75,3.22,5.97,2.79,7.62,0.0217,3.084,6.78,58.07,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
430,Fitness,5.69,358.5,7,4.5,4.61,9.36,2.43,4.44,7.7,5.95,0.0028,3.85,7.57,64.38,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
431,Fitness,3.28,233.2,3,4.24,-4.48,6.67,9.76,1.61,4.91,1.14,0.0043,1.728,0.24,27.87,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
432,Career Choice,6.26,144.8,3,1.08,-4.58,7.83,5.28,3.68,4.34,1.81,0.0069,2.676,4.72,54.91,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
433,Studying,5.5,250.5,5,9.38,4.97,6.25,1.54,3.96,7.31,8.12,0.004,0.31,8.46,50.41,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
434,Studying,5.39,116.0,8,8.1,2.57,8.06,4.95,1.36,7.2,4.22,0.0085,1.52,5.05,38.17,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
435,Studying,3.26,14.9,11,4.94,-2.05,6.97,2.71,1.32,4.13,7.59,0.0629,5.566,7.29,44.8,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
436,Career Choice,8.81,218.7,8,2.44,0.31,4.49,8.37,3.36,5.09,7.98,0.0046,6.048,1.63,71.45,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
437,Health Checkup,4.41,68.1,0,6.58,-1.36,6.2,3.89,0.61,9.7,8.37,0.0145,0.0,6.11,43.4,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
438,Studying,5.72,181.9,8,2.39,-2.17,4.1,3.9,0.8,6.93,1.39,0.0055,6.088,6.1,75.4,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
439,Studying,2.61,11.9,1,5.37,-4.01,5.71,8.53,4.03,5.73,7.31,0.0775,0.463,1.47,18.19,Low,Emotional Avoidance,"Name the emotion. Do a 5-minute exposure, then re-evaluate.",1
440,Career Choice,1.44,81.0,11,1.64,4.3,2.09,5.42,5.37,1.72,8.21,0.0122,9.196,4.58,47.63,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
441,Fitness,4.25,271.5,6,8.4,2.94,0.58,6.55,3.29,7.61,8.51,0.0037,0.96,3.45,57.73,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
442,Fitness,9.5,350.6,1,1.91,-2.69,3.85,2.74,4.03,6.13,9.53,0.0028,0.809,7.26,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
443,Health Checkup,7.74,151.8,1,7.9,0.77,6.74,7.32,2.71,1.94,8.13,0.0065,0.21,2.68,23.13,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
444,Health Checkup,4.61,123.5,2,5.81,1.0,9.34,9.12,3.41,9.97,8.6,0.008,0.838,0.88,30.59,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
445,Finance,7.88,157.4,11,3.91,-2.59,5.46,4.38,3.41,7.7,4.24,0.0063,6.699,5.62,91.38,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
446,Finance,5.03,145.2,11,1.31,-2.16,0.16,2.22,5.37,1.06,9.86,0.0068,9.559,7.78,87.51,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
447,Studying,8.7,8.4,11,8.4,4.19,5.11,6.14,3.54,1.85,5.14,0.1064,1.76,3.86,38.53,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
448,Studying,2.25,134.3,9,3.25,-2.44,3.0,6.13,3.52,2.96,1.69,0.0074,6.075,3.87,47.53,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
449,Career Choice,8.14,63.5,11,7.33,3.2,0.95,6.78,0.46,8.28,4.43,0.0155,2.937,3.22,58.99,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
450,Fitness,9.3,122.4,6,4.75,3.68,8.7,3.04,4.0,6.42,1.1,0.0081,3.15,6.96,54.08,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
451,Creative Project,4.44,111.6,0,3.87,0.65,3.27,7.28,1.13,7.06,9.98,0.0089,0.0,2.72,44.46,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
452,Finance,7.78,210.2,1,3.0,-2.1,3.94,2.19,0.72,6.14,1.44,0.0047,0.7,7.81,67.08,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
453,Finance,3.36,145.8,6,7.96,-3.7,1.35,6.03,3.06,6.87,2.76,0.0068,1.224,3.97,45.73,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
454,Health Checkup,9.97,191.6,3,1.64,2.77,3.23,9.32,0.77,7.05,4.81,0.0052,2.508,0.68,74.03,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
455,Career Choice,2.71,126.1,10,1.22,-1.95,9.88,6.55,5.94,4.98,2.31,0.0079,8.78,3.45,46.67,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
456,Fitness,9.32,85.6,10,4.36,2.58,8.53,2.01,0.56,9.54,9.34,0.0115,5.64,7.99,89.25,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
457,Career Choice,1.12,253.4,1,3.75,-0.29,3.32,7.66,1.47,5.92,7.75,0.0039,0.625,2.34,38.76,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
458,Health Checkup,5.35,266.6,2,7.26,1.68,3.77,9.15,3.28,3.3,1.54,0.0037,0.548,0.85,19.54,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
459,Studying,8.1,225.7,0,5.18,4.45,0.67,6.94,4.06,9.22,4.24,0.0044,0.0,3.06,61.99,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
460,Fitness,1.17,316.7,10,4.48,4.8,5.09,7.39,5.45,5.36,6.37,0.0031,5.52,2.61,53.2,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
461,Fitness,2.68,183.0,7,6.05,2.12,0.4,9.3,2.0,5.41,7.7,0.0054,2.765,0.7,47.95,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
462,Fitness,4.12,128.8,10,3.72,4.96,9.79,3.48,0.61,3.32,4.48,0.0077,6.28,6.52,54.36,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
463,Fitness,9.5,346.5,3,2.37,3.97,6.57,1.79,2.45,9.65,6.51,0.0029,2.289,8.21,91.96,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
464,Creative Project,7.18,152.6,9,2.37,4.71,9.1,3.96,3.37,2.86,2.25,0.0065,6.867,6.04,54.71,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
465,Health Checkup,7.16,74.2,2,3.78,2.05,5.24,2.22,5.98,9.78,2.31,0.0133,1.244,7.78,47.86,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
466,Health Checkup,9.25,116.2,8,5.8,2.19,1.84,8.56,1.09,1.27,3.87,0.0085,3.36,1.44,57.92,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
467,Finance,9.65,111.1,11,9.4,3.94,9.33,3.46,4.73,1.96,2.66,0.0089,0.66,6.54,39.75,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
468,Health Checkup,6.55,221.2,9,3.08,-2.68,6.87,4.23,4.21,5.29,5.52,0.0045,6.228,5.77,82.36,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
469,Health Checkup,5.22,237.3,2,8.67,-0.09,1.38,2.74,0.44,7.88,1.14,0.0042,0.266,7.26,46.89,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
470,Career Choice,9.55,81.6,10,9.89,2.58,0.66,9.34,5.92,8.8,5.41,0.0121,0.11,0.66,56.74,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
471,Career Choice,8.8,324.0,6,4.64,-4.58,7.35,4.42,2.05,6.5,7.68,0.0031,3.216,5.58,94.01,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
472,Health Checkup,5.83,234.3,11,8.08,0.21,4.52,8.44,0.49,9.96,5.67,0.0042,2.112,1.56,67.1,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
473,Finance,9.85,14.8,6,5.65,1.31,0.49,3.62,2.54,3.74,8.45,0.0633,2.61,6.38,68.68,High,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
474,Finance,2.5,107.8,0,7.21,4.04,4.64,6.81,0.77,5.51,2.62,0.0092,0.0,3.19,6.76,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
475,Health Checkup,9.44,254.2,2,4.54,-1.77,0.25,5.08,5.41,9.06,8.94,0.0039,1.092,4.92,90.93,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
476,Fitness,3.25,252.6,11,8.17,2.18,1.24,2.03,2.83,4.27,5.71,0.0039,2.013,7.97,60.7,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
477,Finance,7.54,356.0,9,9.55,-1.21,3.81,7.91,5.5,6.09,6.94,0.0028,0.405,2.09,73.96,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
478,Studying,2.46,53.2,12,7.41,-0.8,3.1,7.92,2.82,6.64,2.06,0.0185,3.108,2.08,33.2,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
479,Studying,9.64,1.8,12,3.28,-0.41,8.55,5.89,0.28,8.94,3.14,0.3571,8.064,4.11,71.16,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
480,Health Checkup,6.94,165.9,7,1.71,1.0,2.45,5.93,3.81,6.02,8.43,0.006,5.803,4.07,70.25,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
481,Fitness,2.66,20.6,5,1.33,3.54,6.67,8.54,1.97,9.28,1.44,0.0463,4.335,1.46,27.29,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
482,Finance,9.94,59.3,4,6.5,1.92,5.95,8.09,1.27,5.1,6.21,0.0166,1.4,1.91,43.0,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
483,Fitness,1.84,109.6,5,9.08,3.2,7.58,8.59,0.62,5.24,2.1,0.009,0.46,1.41,6.1,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
484,Career Choice,3.96,151.3,3,7.26,1.12,1.09,7.57,3.87,9.88,5.35,0.0066,0.822,2.43,43.75,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
485,Creative Project,6.44,287.8,11,3.58,1.09,3.16,5.73,5.97,4.18,2.17,0.0035,7.062,4.27,70.7,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
486,Health Checkup,5.47,266.3,7,5.43,-3.2,6.09,7.38,5.88,1.01,1.22,0.0037,3.199,2.62,36.52,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
487,Creative Project,8.17,269.3,3,8.2,4.99,4.14,4.0,3.47,6.74,1.1,0.0037,0.54,6.0,52.4,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
488,Studying,7.21,93.2,1,3.77,0.07,3.24,1.06,4.19,4.07,7.52,0.0106,0.623,8.94,52.96,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
489,Health Checkup,9.64,303.8,3,3.97,-1.62,6.72,9.25,4.83,6.81,5.33,0.0033,1.809,0.75,67.54,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
490,Creative Project,5.15,315.9,5,5.16,3.14,9.28,1.5,3.25,6.08,7.1,0.0032,2.42,8.5,59.77,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
491,Health Checkup,5.82,76.4,10,3.99,4.16,7.96,1.6,1.11,8.57,4.05,0.0129,6.01,8.4,63.82,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
492,Finance,6.64,307.6,9,6.45,-3.13,1.17,8.04,2.02,8.72,7.39,0.0032,3.195,1.96,82.74,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
493,Career Choice,4.72,181.7,3,4.34,3.29,3.03,5.73,1.26,4.37,1.34,0.0055,1.698,4.27,44.97,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
494,Studying,9.22,162.3,0,8.19,4.05,1.54,4.06,3.03,8.86,3.79,0.0061,0.0,5.94,57.73,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
495,Career Choice,2.29,318.3,8,7.09,-3.67,7.25,5.13,4.35,5.7,1.04,0.0031,2.328,4.87,44.17,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
496,Fitness,7.18,217.1,1,4.0,3.89,1.03,7.9,4.54,1.2,7.83,0.0046,0.6,2.1,42.5,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
497,Creative Project,9.03,117.5,3,3.58,0.32,7.73,7.04,1.82,2.42,2.03,0.0084,1.926,2.96,41.32,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
498,Health Checkup,6.04,37.8,8,4.15,-1.82,1.42,7.34,1.88,3.2,1.64,0.0258,4.68,2.66,53.26,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
499,Health Checkup,9.03,197.5,0,2.17,-0.29,6.75,1.95,0.56,4.84,2.61,0.005,0.0,8.05,69.46,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
500,Health Checkup,9.02,229.9,11,7.29,1.16,3.12,8.36,4.35,7.04,5.8,0.0043,2.981,1.64,69.56,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
501,Finance,6.11,34.4,12,9.28,-0.32,4.56,7.16,4.33,5.19,3.09,0.0282,0.864,2.84,34.52,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
502,Studying,2.29,327.0,4,9.22,-1.08,7.0,6.99,4.79,8.94,5.08,0.003,0.312,3.01,36.33,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
503,Fitness,1.59,41.6,7,5.15,-3.29,7.68,6.44,0.98,1.93,8.36,0.0235,3.395,3.56,30.22,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
504,Fitness,3.93,237.2,12,3.72,-0.39,5.91,3.15,1.65,2.43,5.34,0.0042,7.536,6.85,67.52,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
